date,gt_web_paypay,gt_web_QR_code,gt_web_QR,gt_web_shohizei,gt_web_zouzei,gt_web_paypay_charge,gt_news_paypay,gt_news_QR_code,gt_news_QR,gt_news_shohizei,gt_news_zouzei
2019-06-01,5,78,83,2,1,8,0,0,58,0,0
2019-06-02,5,75,72,3,1,0,0,0,0,19,37
2019-06-03,5,75,78,7,2,15,0,0,0,0,15
2019-06-04,4,72,77,8,2,0,19,0,0,0,0
2019-06-05,5,81,82,8,2,0,21,45,95,0,17
2019-06-06,4,77,73,7,2,8,40,43,48,16,0
2019-06-07,4,71,78,7,2,0,40,0,0,17,16
2019-06-08,4,73,74,4,1,16,26,0,0,21,0
2019-06-09,4,72,76,3,1,8,45,49,54,19,0
2019-06-10,5,81,87,8,2,0,21,47,51,33,0
2019-06-11,4,76,83,8,2,8,21,44,50,16,0
2019-06-12,4,85,90,8,2,8,20,0,50,17,22
2019-06-13,4,74,83,8,2,0,20,0,0,15,0
2019-06-14,4,81,84,7,2,15,0,0,0,16,0
2019-06-15,4,79,69,3,1,0,0,0,57,19,19
2019-06-16,4,71,84,4,1,0,0,0,0,18,0
2019-06-17,4,69,79,7,2,0,0,0,0,0,16
2019-06-18,3,78,80,9,2,8,18,40,0,0,15
2019-06-19,4,76,82,8,3,7,0,43,0,16,16
2019-06-20,4,71,78,8,3,0,0,0,48,16,0
2019-06-21,4,73,73,8,2,8,21,0,0,34,25
2019-06-22,5,73,68,4,2,23,0,0,0,19,19
2019-06-23,5,76,84,4,2,11,26,0,63,0,0
2019-06-24,6,83,81,9,3,7,0,0,47,0,22
2019-06-25,5,74,88,9,3,12,0,42,46,30,16
2019-06-26,4,81,84,8,2,7,0,0,0,29,15
2019-06-27,4,78,86,8,2,7,0,0,39,15,39
2019-06-28,5,76,81,7,2,8,0,0,0,16,0
2019-06-29,5,78,89,4,1,0,22,0,0,0,0
2019-06-30,6,76,84,4,1,7,0,0,0,0,17
2019-07-01,7,84,84,8,2,15,17,0,0,0,15
2019-07-02,6,81,80,9,3,7,19,41,45,22,15
2019-07-03,6,86,88,9,3,7,18,0,46,14,15
2019-07-04,7,82,94,10,3,7,21,45,0,17,17
2019-07-05,5,82,86,7,2,15,0,44,49,0,17
2019-07-06,5,82,84,3,2,11,23,0,0,18,0
2019-07-07,5,77,78,4,1,8,21,0,0,0,0
2019-07-08,6,77,79,9,3,0,19,0,100,32,0
2019-07-09,6,81,90,9,3,7,0,0,0,16,32
2019-07-10,5,81,86,8,2,0,0,0,47,30,15
2019-07-11,6,80,83,9,3,7,19,0,0,0,0
2019-07-12,5,81,93,8,2,0,21,0,0,0,17
2019-07-13,5,84,86,4,1,15,0,0,0,0,0
2019-07-14,5,73,84,4,1,7,0,0,52,0,0
2019-07-15,5,70,85,4,2,7,0,0,57,19,19
2019-07-16,4,79,73,9,3,7,21,39,0,14,0
2019-07-17,4,81,82,8,2,0,20,0,0,16,16
2019-07-18,4,76,86,8,3,11,0,0,42,14,13
2019-07-19,4,75,82,8,2,0,18,0,0,15,15
2019-07-20,4,70,73,5,2,16,0,0,50,0,0
2019-07-21,4,65,75,7,3,8,17,0,0,13,0
2019-07-22,4,83,93,9,3,8,16,0,0,13,0
2019-07-23,4,74,78,9,3,8,0,0,0,40,14
2019-07-24,4,77,80,9,3,8,18,0,47,0,14
2019-07-25,5,77,78,9,2,16,0,0,0,15,29
2019-07-26,4,76,84,8,2,8,19,0,0,0,0
2019-07-27,4,60,66,4,1,0,0,0,0,0,18
2019-07-28,4,63,73,5,2,8,0,0,0,0,0
2019-07-29,4,77,82,10,3,8,18,0,0,14,15
2019-07-30,5,81,84,10,3,0,0,0,0,0,15
2019-07-31,6,82,91,10,3,8,20,46,49,0,17
2019-08-01,10,85,95,11,4,32,0,0,0,29,0
2019-08-02,6,74,84,10,2,8,0,0,48,15,16
2019-08-03,7,68,73,5,2,16,0,0,0,0,0
2019-08-04,8,64,67,5,2,24,0,0,53,0,18
2019-08-05,7,80,83,10,3,8,0,0,43,0,0
2019-08-06,6,82,86,11,3,19,0,0,42,14,28
2019-08-07,6,74,80,10,3,8,17,0,0,0,14
2019-08-08,6,86,90,9,3,15,18,0,0,15,15
2019-08-09,5,83,95,9,3,8,19,0,0,0,31
2019-08-10,5,62,76,5,2,8,23,0,59,0,0
2019-08-11,6,67,69,5,2,8,0,0,0,0,0
2019-08-12,6,61,63,4,2,8,0,100,55,17,18
2019-08-13,5,73,79,7,4,7,0,0,0,15,16
2019-08-14,5,74,75,8,3,14,0,37,40,27,14
2019-08-15,7,78,87,9,3,7,17,0,42,14,14
2019-08-16,6,84,89,10,4,7,0,0,50,17,17
2019-08-17,6,70,75,6,3,8,0,0,0,0,20
2019-08-18,6,63,70,7,3,16,22,51,56,18,0
2019-08-19,6,86,82,14,6,15,20,46,52,16,16
2019-08-20,7,87,83,17,8,7,0,44,49,25,25
2019-08-21,7,84,89,17,7,15,0,0,50,0,33
2019-08-22,7,88,90,16,8,7,0,42,46,30,23
2019-08-23,8,87,97,14,7,8,40,0,0,16,24
2019-08-24,8,77,76,7,4,24,0,0,63,0,0
2019-08-25,8,61,73,8,5,28,0,0,0,0,0
2019-08-26,5,82,89,18,9,8,0,43,47,16,31
2019-08-27,7,88,82,18,8,27,0,0,0,15,22
2019-08-28,7,80,80,17,9,11,0,0,0,15,0
2019-08-29,7,76,85,20,9,23,0,0,0,16,16
2019-08-30,8,80,88,18,9,29,0,0,0,32,17
2019-08-31,9,80,79,9,7,50,0,0,0,19,0
2019-09-01,9,76,78,13,10,49,0,0,0,0,19
2019-09-02,9,73,81,28,18,27,39,0,0,33,16
2019-09-03,9,80,90,27,17,42,0,0,0,34,34
2019-09-04,10,79,81,26,17,94,0,44,0,45,47
2019-09-05,9,73,77,24,14,64,19,0,0,31,16
2019-09-06,8,76,81,22,15,41,0,0,48,25,16
2019-09-07,13,65,75,11,12,100,24,0,0,20,0
2019-09-08,9,72,73,11,11,49,0,0,44,0,14
2019-09-09,7,79,82,19,14,11,0,0,0,59,14
2019-09-10,9,77,86,23,18,7,0,40,42,29,37
2019-09-11,8,79,80,23,18,11,0,0,0,15,20
2019-09-12,10,81,81,24,19,8,19,44,48,0,32
2019-09-13,10,76,80,23,17,0,0,0,0,0,86
2019-09-14,12,79,81,11,12,12,0,0,0,21,21
2019-09-15,12,73,81,10,13,15,0,0,0,19,19
2019-09-16,12,74,76,14,16,15,22,0,0,18,18
2019-09-17,11,70,79,26,21,0,0,0,0,33,22
2019-09-18,12,76,78,27,22,23,20,0,74,17,22
2019-09-19,11,81,82,26,23,23,0,0,50,17,0
2019-09-20,12,75,92,25,22,16,0,0,0,18,19
2019-09-21,13,75,81,13,17,8,0,0,0,20,0
2019-09-22,12,72,85,12,16,22,0,0,0,20,0
2019-09-23,13,77,83,18,23,15,0,49,55,36,28
2019-09-24,21,87,83,35,32,23,21,0,0,33,33
2019-09-25,19,87,89,34,34,34,21,0,0,37,17
2019-09-26,21,89,97,37,35,8,0,0,0,17,25
2019-09-27,19,90,89,35,34,12,23,0,57,28,19
2019-09-28,20,74,82,30,33,12,25,0,62,0,82
2019-09-29,20,85,83,41,49,19,0,0,60,0,21
2019-09-30,34,94,93,100,100,27,21,0,0,51,17
2019-10-01,50,100,100,74,48,27,81,0,0,100,100
2019-10-02,38,96,96,40,22,63,21,0,52,42,50
2019-10-03,30,93,86,28,14,26,23,0,0,17,23
2019-10-04,42,94,96,23,11,38,22,0,0,35,36
2019-10-05,100,86,92,12,6,69,100,0,63,0,39
2019-10-06,41,88,95,12,6,45,26,0,0,0,0
2019-10-07,30,94,91,18,7,26,44,0,49,17,17
2019-10-08,23,83,80,16,7,7,21,0,0,16,16
2019-10-09,22,80,90,16,6,22,0,0,0,0,16
