date,restr_super_c,relley_c,seven_c,restr_super_cvs_c,seven_money_c,paypay_start_c,super_money_c,didi_c,month_end_cd,payment_day_flg,restr_super_c_pd,seven_c_pd,restr_super_cvs_c_pd,seven_money_c_pd,paypay_start_c_pd,super_money_c_pd,payment_day_cd
2019-07-01,1,0,0,0,0,0,0,0,30,0,1,999,999,999,999,999,14
2019-07-02,1,0,0,0,0,0,0,0,29,0,2,999,999,999,999,999,13
2019-07-03,1,0,0,0,0,0,0,0,28,0,3,999,999,999,999,999,12
2019-07-04,1,0,0,0,0,0,0,0,27,0,4,999,999,999,999,999,11
2019-07-05,1,0,0,0,0,0,0,0,26,0,5,999,999,999,999,999,10
2019-07-06,1,0,0,0,0,0,0,0,25,0,6,999,999,999,999,999,9
2019-07-07,1,0,0,0,0,0,0,0,24,0,7,999,999,999,999,999,8
2019-07-08,1,1,0,0,0,0,0,0,23,0,8,999,999,999,999,999,7
2019-07-09,1,1,0,0,0,0,0,0,22,0,9,999,999,999,999,999,6
2019-07-10,1,1,0,0,0,0,0,0,21,0,10,999,999,999,999,999,5
2019-07-11,1,0,1,0,0,0,0,0,20,0,11,1,999,999,999,999,4
2019-07-12,1,0,1,0,0,0,0,0,19,0,12,2,999,999,999,999,3
2019-07-13,1,0,1,0,0,0,0,0,18,0,13,3,999,999,999,999,2
2019-07-14,1,0,1,0,0,0,0,0,17,0,14,4,999,999,999,999,1
2019-07-15,1,0,1,0,0,0,0,0,16,1,15,5,999,999,999,999,0
2019-07-16,1,0,1,0,0,0,0,0,15,0,16,6,999,999,999,999,9
2019-07-17,1,0,1,0,0,0,0,0,14,0,17,7,999,999,999,999,8
2019-07-18,1,0,1,0,0,0,0,0,13,0,18,8,999,999,999,999,7
2019-07-19,1,0,1,0,0,0,0,0,12,0,19,9,999,999,999,999,6
2019-07-20,1,0,1,0,0,0,0,0,11,0,20,10,999,999,999,999,5
2019-07-21,1,0,1,0,0,0,0,0,10,0,21,11,999,999,999,999,4
2019-07-22,1,0,1,0,0,0,0,0,9,0,22,12,999,999,999,999,3
2019-07-23,1,0,1,0,0,0,0,0,8,0,23,13,999,999,999,999,2
2019-07-24,1,0,1,0,0,0,0,0,7,0,24,14,999,999,999,999,1
2019-07-25,1,0,1,0,0,0,0,0,6,1,25,15,999,999,999,999,0
2019-07-26,1,0,1,0,0,0,0,0,5,0,26,16,999,999,999,999,20
2019-07-27,1,0,1,0,0,0,0,0,4,0,27,17,999,999,999,999,19
2019-07-28,1,0,1,0,0,0,0,0,3,0,28,18,999,999,999,999,18
2019-07-29,1,0,1,0,0,0,0,0,2,0,29,19,999,999,999,999,17
2019-07-30,1,0,1,0,0,0,0,0,1,0,30,20,999,999,999,999,16
2019-07-31,1,0,1,0,0,0,0,0,0,0,31,21,999,999,999,999,15
2019-08-01,0,0,0,1,0,1,0,0,30,0,32,22,1,999,1,999,14
2019-08-02,0,0,0,1,0,1,0,0,29,0,33,23,2,999,2,999,13
2019-08-03,0,0,0,1,0,1,0,0,28,0,34,24,3,999,3,999,12
2019-08-04,0,0,0,1,0,1,0,0,27,0,35,25,4,999,4,999,11
2019-08-05,0,0,0,1,0,1,0,0,26,0,36,26,5,999,5,999,10
2019-08-06,0,0,0,1,0,1,0,0,25,0,37,27,6,999,6,999,9
2019-08-07,0,0,0,1,0,1,0,0,24,0,38,28,7,999,7,999,8
2019-08-08,0,0,0,1,0,1,0,0,23,0,39,29,8,999,8,999,7
2019-08-09,0,0,0,1,0,1,0,0,22,0,40,30,9,999,9,999,6
2019-08-10,0,0,0,1,0,1,0,0,21,0,41,31,10,999,10,999,5
2019-08-11,0,0,0,1,0,1,0,0,20,0,42,32,11,999,11,999,4
2019-08-12,0,0,0,1,1,1,0,0,19,0,43,33,12,1,12,999,3
2019-08-13,0,0,0,1,1,1,0,0,18,0,44,34,13,2,13,999,2
2019-08-14,0,0,0,1,1,1,0,0,17,0,45,35,14,3,14,999,1
2019-08-15,0,0,0,1,1,1,0,0,16,1,46,36,15,4,15,999,0
2019-08-16,0,0,0,1,1,1,0,0,15,0,47,37,16,5,16,999,9
2019-08-17,0,0,0,1,1,1,0,0,14,0,48,38,17,6,17,999,8
2019-08-18,0,0,0,1,1,1,0,0,13,0,49,39,18,7,18,999,7
2019-08-19,0,0,0,1,1,1,0,0,12,0,50,40,19,8,19,999,6
2019-08-20,0,0,0,1,1,1,0,0,11,0,51,41,20,9,20,999,5
2019-08-21,0,0,0,1,1,1,0,0,10,0,52,42,21,10,21,999,4
2019-08-22,0,0,0,1,1,1,0,0,9,0,53,43,22,11,22,999,3
