,date,prefecture,temperature_AVG,temperature_MAX,temperature_MIN,Precipitation_SUM,weather_noon_sunny,weather_noon_rainy,weather_noon_cloudy,weather_night_sunny,weather_night_rainy,weather_night_cloudy
0,2019-07-01,東京,22.7,24.3,21.0,1.5,0,1,1,0,1,1
1,2019-07-02,東京,23.8,28.1,21.5,0.5,0,1,1,0,0,1
2,2019-07-03,東京,24.9,29.1,22.2,1.0,0,0,1,0,1,1
3,2019-07-04,東京,22.7,25.2,19.9,10.5,0,1,1,1,0,1
4,2019-07-05,東京,21.9,24.5,19.0,4.5,0,0,1,0,1,1
5,2019-07-06,東京,21.0,23.7,19.2,14.5,0,1,1,0,1,1
6,2019-07-07,東京,19.2,20.8,17.9,22.5,0,1,0,0,1,1
7,2019-07-08,東京,20.3,24.8,17.7,0.0,0,0,1,0,0,1
8,2019-07-09,東京,19.7,21.8,18.5,0.0,0,0,1,0,0,1
9,2019-07-10,東京,21.0,24.8,18.5,0.0,1,0,1,1,0,1
10,2019-07-11,東京,19.9,23.6,17.9,2.0,0,1,1,0,1,0
11,2019-07-12,東京,20.2,21.9,18.2,12.5,0,1,1,0,0,1
12,2019-07-13,東京,23.4,27.3,20.0,0.5,0,1,1,0,1,0
13,2019-07-14,東京,21.3,22.5,20.2,39.0,0,1,1,0,1,1
14,2019-07-15,東京,21.3,25.0,19.4,7.0,0,1,1,0,1,1
15,2019-07-16,東京,20.5,22.1,19.0,33.5,0,1,1,0,1,1
16,2019-07-17,東京,23.9,28.7,20.3,0.5,1,0,1,1,0,1
17,2019-07-18,東京,25.6,29.7,22.2,9.5,0,0,1,0,1,1
18,2019-07-19,東京,26.7,31.4,23.0,3.5,0,1,1,0,1,1
19,2019-07-20,東京,26.5,29.5,24.4,0.0,0,1,1,0,1,1
20,2019-07-21,東京,25.0,28.2,22.7,0.0,0,1,1,0,1,1
21,2019-07-22,東京,22.7,24.0,21.6,0.5,0,1,1,0,1,1
22,2019-07-23,東京,24.5,29.3,22.4,4.0,0,1,1,0,1,1
23,2019-07-24,東京,26.8,31.6,23.7,6.0,1,1,1,1,0,1
24,2019-07-25,東京,28.0,32.4,24.4,0.0,1,1,0,1,0,0
25,2019-07-26,東京,28.5,33.1,25.6,0.5,1,0,0,0,1,1
26,2019-07-27,東京,28.0,31.4,25.1,4.0,1,0,1,0,1,1
27,2019-07-28,東京,27.7,32.3,25.0,15.0,1,1,1,1,0,1
28,2019-07-29,東京,29.0,33.7,25.3,0.0,1,0,1,1,0,1
29,2019-07-30,東京,29.5,33.6,26.0,0.0,1,0,1,1,0,1
30,2019-07-31,東京,30.0,34.6,26.5,0.0,1,0,1,1,0,1
31,2019-08-01,東京,30.5,35.0,26.3,0.0,1,0,0,1,0,0
32,2019-08-02,東京,30.2,35.1,27.1,0.0,1,0,0,1,0,0
